id,identifiant,name,source,famille
item_minecraft_small_amethyst_bud,minecraft:small_amethyst_bud,Small Amethyst Bud,Minecraft,
item_minecraft_lingering_potion,minecraft:lingering_potion,Lingering Potion,Minecraft,
item_minecraft_template_spawn_egg,minecraft:template_spawn_egg,Template Spawn Egg,Minecraft,
item_minecraft_template_skull,minecraft:template_skull,Template Skull,Minecraft,
item_minecraft_bow_pulling_0,minecraft:bow_pulling_0,Bow Pulling 0,Minecraft,
item_minecraft_elytra,minecraft:elytra,Elytra,Minecraft,
item_minecraft_trident_in_hand,minecraft:trident_in_hand,Trident In Hand,Minecraft,
item_minecraft_tooting_goat_horn,minecraft:tooting_goat_horn,Tooting Goat Horn,Minecraft,
item_minecraft_bow_pulling_1,minecraft:bow_pulling_1,Bow Pulling 1,Minecraft,
item_minecraft_crossbow_pulling_2,minecraft:crossbow_pulling_2,Crossbow Pulling 2,Minecraft,
item_minecraft_brush_brushing_0,minecraft:brush_brushing_0,Brush Brushing 0,Minecraft,
item_minecraft_bow,minecraft:bow,Bow,Minecraft,
item_minecraft_decorated_pot,minecraft:decorated_pot,Decorated Pot,Minecraft,
item_minecraft_light,minecraft:light,Light,Minecraft,
item_minecraft_crossbow_pulling_1,minecraft:crossbow_pulling_1,Crossbow Pulling 1,Minecraft,
item_minecraft_firework_star,minecraft:firework_star,Firework Star,Minecraft,
item_minecraft_chest,minecraft:chest,Chest,Minecraft,
item_minecraft_goat_horn,minecraft:goat_horn,Goat Horn,Minecraft,
item_minecraft_fishing_rod_cast,minecraft:fishing_rod_cast,Fishing Rod Cast,Minecraft,
item_minecraft_potion,minecraft:potion,Potion,Minecraft,
item_minecraft_brush,minecraft:brush,Brush,Minecraft,
item_minecraft_hanging_roots,minecraft:hanging_roots,Hanging Roots,Minecraft,
item_minecraft_filled_map,minecraft:filled_map,Map,Minecraft,
item_minecraft_lead,minecraft:lead,Lead,Minecraft,
item_minecraft_trapped_chest,minecraft:trapped_chest,Trapped Chest,Minecraft,
item_minecraft_handheld_rod,minecraft:handheld_rod,Handheld Rod,Minecraft,
item_minecraft_trident_throwing,minecraft:trident_throwing,Trident Throwing,Minecraft,
item_minecraft_bundle,minecraft:bundle,Bundle,Minecraft,
item_minecraft_big_dripleaf,minecraft:big_dripleaf,Big Dripleaf,Minecraft,
item_minecraft_template_bed,minecraft:template_bed,Template Bed,Minecraft,
item_minecraft_compass,minecraft:compass,Compass,Minecraft,
item_minecraft_shield,minecraft:shield,Shield,Minecraft,
item_minecraft_conduit,minecraft:conduit,Conduit,Minecraft,
item_minecraft_medium_amethyst_bud,minecraft:medium_amethyst_bud,Medium Amethyst Bud,Minecraft,
item_minecraft_amethyst_bud,minecraft:amethyst_bud,Amethyst Bud,Minecraft,
item_minecraft_splash_potion,minecraft:splash_potion,Splash Potion,Minecraft,
item_minecraft_bone,minecraft:bone,Bone,Minecraft,
item_minecraft_tipped_arrow,minecraft:tipped_arrow,Tipped Arrow,Minecraft,
item_minecraft_broken_elytra,minecraft:broken_elytra,Broken Elytra,Minecraft,
item_minecraft_handheld,minecraft:handheld,Handheld,Minecraft,
item_minecraft_ender_chest,minecraft:ender_chest,Ender Chest,Minecraft,
item_minecraft_feather,minecraft:feather,Feather,Minecraft,
item_minecraft_large_amethyst_bud,minecraft:large_amethyst_bud,Large Amethyst Bud,Minecraft,
item_minecraft_handheld_mace,minecraft:handheld_mace,Handheld Mace,Minecraft,
item_minecraft_cod,minecraft:cod,Raw Cod,Minecraft,
